# Zini   MH      logAge Mini         int_IMF      Mass  logL   logTe  logg   label McoreTP C_O   period0 period1 period2 period3 period4 pmode Mloss     tau1m X      Y      Xc       Xn       Xo       Cexcess Z       mbolmag Gmag   G_BPmag G_RPmag
  0.0152 0.01508 9.0    2.0220823288 2.5694693301 2.022 1.469  3.8668 3.694  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7255 0.2599 0.002585 7.069E-4 0.006423 -1.0    0.01463 1.097   0.968  1.097   0.732  
  0.0152 0.01508 9.0    2.0426039696 2.5703100719 2.042 1.493  3.8585 3.642  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7253 0.2601 0.002587 7.073E-4 0.006426 -1.0    0.01462 1.039   0.904  1.047   0.649  
  0.0152 0.01508 9.0    2.0499999523 2.5706083333 2.05  1.501  3.8553 3.622  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7252 0.2602 0.002587 7.074E-4 0.006428 -1.0    0.01461 1.018   0.882  1.029   0.619  
  0.0152 0.01508 9.0    2.063480854  2.5711456642 2.063 1.516  3.8489 3.584  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7251 0.2603 0.002588 7.076E-4 0.00643  -1.0    0.0146  0.981   0.842  1.0     0.564  
  0.0152 0.01508 9.0    2.0773973465 2.5716919527 2.077 1.531  3.8414 3.542  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.725  0.2604 0.002589 7.078E-4 0.006433 -1.0    0.01463 0.942   0.801  0.97    0.504  
  0.0152 0.01508 9.0    2.0936515331 2.5723194447 2.093 1.553  3.8341 3.494  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7248 0.2606 0.00259  7.081E-4 0.006436 -1.0    0.01464 0.887   0.744  0.925   0.43   
  0.0152 0.01508 9.0    2.0999999046 2.5725614918 2.099 1.563  3.832  3.477  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7247 0.2606 0.002591 7.082E-4 0.006437 -1.0    0.01463 0.862   0.719  0.903   0.399  
  0.0152 0.01508 9.0    2.1010882854 2.5726028201 2.1   1.565  3.8317 3.474  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7247 0.2606 0.002591 7.082E-4 0.006437 -1.0    0.01463 0.858   0.714  0.9     0.394  
  0.0152 0.01508 9.0    2.1069586277 2.572824884  2.106 1.586  3.8377 3.478  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7247 0.2607 0.002591 7.083E-4 0.006439 -1.0    0.01461 0.804   0.661  0.836   0.356  
  0.0152 0.01508 9.0    2.1104564667 2.5729565253 2.109 1.608  3.847  3.494  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7246 0.2608 0.002592 7.084E-4 0.006439 -1.0    0.01461 0.749   0.608  0.767   0.326  
